epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,120.514,1.10693,0.72191,1.13486,0.91727,0.96281,0.97434,0.63231,1.32493,0.62478,1.20471,0.000162649,0.000162649,0.000162649
80,122.066,1.11481,0.71623,1.12912,0.93014,0.92138,0.96833,0.63056,1.3266,0.62005,1.20797,0.000155581,0.000155581,0.000155581
81,123.562,1.11802,0.7197,1.14522,0.92671,0.92674,0.97192,0.60609,1.37552,0.63296,1.22581,0.000148512,0.000148512,0.000148512
82,125.077,1.09552,0.69026,1.12079,0.94978,0.93236,0.97793,0.61178,1.38931,0.6007,1.22769,0.000141443,0.000141443,0.000141443
83,126.547,1.12669,0.71179,1.14382,0.94542,0.93561,0.97351,0.61777,1.37123,0.60106,1.22575,0.000134375,0.000134375,0.000134375
84,128.126,1.11258,0.69585,1.12104,0.9703,0.91872,0.97885,0.62276,1.37273,0.59687,1.22916,0.000127306,0.000127306,0.000127306
85,129.677,1.077,0.67469,1.11738,0.96403,0.95974,0.98564,0.62425,1.36771,0.56943,1.22399,0.000120238,0.000120238,0.000120238
86,131.181,1.08307,0.69312,1.1179,0.96908,0.9548,0.98015,0.61926,1.37649,0.56999,1.21951,0.000113169,0.000113169,0.000113169
87,132.664,1.0984,0.67975,1.13057,0.95312,0.94824,0.97751,0.61796,1.37445,0.58025,1.21747,0.0001061,0.0001061,0.0001061
88,134.161,1.09324,0.69197,1.11004,0.97235,0.95509,0.97869,0.62939,1.361,0.56284,1.2134,9.90318e-05,9.90318e-05,9.90318e-05
89,135.732,1.10239,0.68457,1.12256,0.9687,0.96409,0.98295,0.62918,1.35177,0.56465,1.21343,9.19632e-05,9.19632e-05,9.19632e-05
90,137.227,1.09577,0.65117,1.10769,0.96178,0.94145,0.97954,0.623,1.36053,0.58908,1.2149,8.48946e-05,8.48946e-05,8.48946e-05
91,138.82,1.03751,0.58674,1.10146,0.9528,0.93923,0.97455,0.61382,1.35739,0.59498,1.21955,7.7826e-05,7.7826e-05,7.7826e-05
92,140.301,1.03892,0.58105,1.10762,0.94597,0.91917,0.97232,0.6244,1.33959,0.60994,1.2075,7.07574e-05,7.07574e-05,7.07574e-05
93,141.742,1.03731,0.5747,1.12679,0.98138,0.94825,0.98186,0.61695,1.35762,0.5822,1.21287,6.36888e-05,6.36888e-05,6.36888e-05
94,143.201,1.03052,0.54782,1.10083,0.96861,0.92806,0.9767,0.62371,1.35476,0.59287,1.20798,5.66202e-05,5.66202e-05,5.66202e-05
95,144.655,1.02612,0.55517,1.09967,0.97234,0.95422,0.98133,0.62992,1.33632,0.57018,1.20004,4.95516e-05,4.95516e-05,4.95516e-05
96,146.127,1.01175,0.54555,1.10792,0.96604,0.95811,0.98011,0.63296,1.33528,0.56432,1.19737,4.2483e-05,4.2483e-05,4.2483e-05
97,147.735,1.00888,0.54502,1.08861,0.96462,0.95991,0.97954,0.62459,1.3518,0.56386,1.2041,3.54144e-05,3.54144e-05,3.54144e-05
98,149.208,1.00702,0.54385,1.0889,0.96667,0.95687,0.98003,0.62809,1.33361,0.55499,1.19648,2.83458e-05,2.83458e-05,2.83458e-05
99,150.695,1.00045,0.53186,1.09372,0.97208,0.95483,0.98114,0.63047,1.34436,0.55061,1.19947,2.12772e-05,2.12772e-05,2.12772e-05
100,152.203,1.00597,0.54381,1.09664,0.96602,0.96031,0.98114,0.6306,1.33436,0.54916,1.19544,1.42086e-05,1.42086e-05,1.42086e-05
